CD,Cluster,Very low density,Low density,Medium density,High density,obama08,mccain08,kerry04,bush04,gore00,bush00,cong_D10,cong_R10,incumbent2010,Incumbent,winner2010,cong_D08,cong_R08
AK-AL,Pure rural,0.5029448165456027,0.19602636325364564,0.202034267724163,0.0989945524765886,0.38,0.59,0.36,0.61,0.28,0.59,0.314,0.6859999999999999,R,"Young, Don",R,0.44974730107452254,0.5014196568847049
AL-01,Rural-suburban mix,0.4021594888948265,0.389192330724085,0.1961830231959144,0.01246515718517415,0.39,0.61,0.35,0.64,0.38,0.6,0,0.83,R,"Bonner, Jo",R,0,0.9827072263921219
AL-02,Pure rural,0.552117960185646,0.2810468079513434,0.16185475479834438,0.004980477064666188,0.36,0.63,0.33,0.67,0.38,0.61,0.489,0.511,D,"Bright, Bobby",R,0.5023347738644509,0.4961063905300737
AL-03,Pure rural,0.4952719777736213,0.4044300296439968,0.09435380211248269,0.005944190469899166,0.43,0.56,0.41,0.58,0.47,0.52,0.405,0.595,R,"Rogers, Mike",R,0.45842798727850975,0.5403150083295472
AL-04,Pure rural,0.7540775450439899,0.23641866779983398,0.009503787156176073,0,0.23,0.76,0.28,0.71,0.37,0.61,0,1,R,"Aderholt, Robert B.",R,0.2510839124966276,0.7475899333883048
AL-05,Rural-suburban mix,0.4070979945250352,0.40738775288899937,0.18551425258596543,0,0.38,0.61,0.39,0.6,0.44,0.54,0.42100000000000004,0.579,R,"Griffith, Parker",R,0.5152400726368612,0.47940979295891073
AL-06,Rural-suburban mix,0.35230304430821563,0.4894293559859635,0.13842965315201322,0.019837946553807717,0.23,0.76,0.22,0.78,0.25,0.74,0,1,R,"Bachus, Spencer",R,0,0.9779450418991982
AL-07,Rural-suburban mix,0.305442902490277,0.33498179310115583,0.32412117584909755,0.0354541285594696,0.72,0.27,0.64,0.35,0.66,0.33,0.725,0.275,D,"Davis, Artur",D,0.9862624675767476,0
AR-01,Pure rural,0.6300505748196146,0.3005929963035885,0.06935642887679695,0,0.38,0.59,0.47,0.52,0.5,0.48,0.436,0.516,D,"Berry, Marion",R,1,0
AR-02,Rural-suburban mix,0.34206130877043084,0.35680224441259184,0.29633060367831326,0.004805843138664079,0.44,0.54,0.48,0.51,0.48,0.49,0.38299999999999995,0.579,D,"Snyder, Vic",R,0.7654254667118536,0
AR-03,Rural-suburban mix,0.43709911933904233,0.3934186276083077,0.16948225305265,0,0.34,0.64,0.36,0.62,0.37,0.6,0.27699999999999997,0.723,R,"Boozman, John",R,0,0.7852550301774155
AR-04,Pure rural,0.6414869406663477,0.301689024474119,0.05682403485953326,0,0.39,0.58,0.48,0.51,0.49,0.48,0.5760000000000001,0.401,D,"Ross, Mike",D,0.8617233788982148,0
AZ-01,Pure rural,0.584809052707986,0.3126167044504955,0.10257424284151853,0,0.44,0.54,0.46,0.54,0.46,0.51,0.43799999999999994,0.498,D,"Kirkpatrick, Ann",R,0.5588173049675917,0.3942938515784452
AZ-02,Dense suburban,0.14269042372643478,0.2399261288867403,0.5393316580730262,0.07805178931379868,0.38,0.61,0.38,0.61,0.41,0.57,0.306,0.653,R,"Franks, Trent",R,0.37160489079145503,0.5943796723891569
AZ-03,Dense suburban,0.03467440009597061,0.18300067387021446,0.4548575438954309,0.32746738213838406,0.42,0.57,0.41,0.58,0.43,0.55,0.41,0.526,R,"Shadegg, John B.",R,0.4206955200773365,0.5407743103128714
AZ-04,Urban-suburban mix,0.0014034220716449461,0.14368336779047236,0.42177728285232957,0.4331359272855531,0.66,0.33,0.62,0.38,0.63,0.35,0.655,0.289,D,"Pastor, Ed",D,0.7210734004677442,0.2124538886254591
AZ-05,Dense suburban,0.030914014117023457,0.16020267080500994,0.4532028911969995,0.35568042388096716,0.47,0.52,0.45,0.54,0.43,0.54,0.424,0.529,D,"Mitchell, Harry E.",R,0.5315677777183314,0.43573555900344196
AZ-06,Dense suburban,0.030215811071083027,0.23127180984117893,0.6038218191927376,0.13469055989500042,0.38,0.61,0.35,0.64,0.37,0.61,0.294,0.662,R,"Flake, Jeff",R,0.3454975821124198,0.6241681030355262
AZ-07,Dense suburban,0.20104647513739024,0.24073542772790213,0.43096211691620706,0.12725598021850065,0.57,0.42,0.57,0.43,0.58,0.38,0.486,0.45799999999999996,D,"Grijalva, Raúl M.",D,0.6326257449526437,0.32788095007863033
AZ-08,Sparse suburban,0.1946802595067612,0.302890649598302,0.3481439897001989,0.15428510119473793,0.46,0.52,0.46,0.53,0.46,0.5,0.486,0.47600000000000003,D,"Giffords, Gabrielle",D,0.5472056198326967,0.4281680100893787
CA-01,Rural-suburban mix,0.3859240904890315,0.18827941115437935,0.266825995281669,0.15897050307492014,0.66,0.32,0.6,0.38,0.52,0.39,0.621,0.321,D,"Thompson, Mike",D,0.6810019554380456,0.23359566498664244
CA-02,Rural-suburban mix,0.42003915685845555,0.2869605491417199,0.24841908959981626,0.04458120440000832,0.43,0.55,0.37,0.62,0.33,0.61,0.436,0.564,R,"Herger, Wally",R,0.4210500217824798,0.5789499782175201
CA-03,Dense suburban,0.17337225883999077,0.1368601992480535,0.44306841643458755,0.2466991254773681,0.491,0.489,0.41,0.58,0.41,0.55,0.42700000000000005,0.506,R,"Lungren, Daniel E.",R,0.43933372817994815,0.4949083892168663
CA-04,Rural-suburban mix,0.3059915681312492,0.43062302156249993,0.2121955526028445,0.051189857703406366,0.44,0.54,0.37,0.61,0.36,0.59,0.317,0.613,R,"McClintock, Tom",R,0.4975661203959111,0.5024338796040889
CA-05,Urban-suburban mix,0.0010558801484746906,0.044976475747865445,0.4347700153074554,0.5191976287962045,0.7,0.28,0.61,0.38,0.6,0.35,0.7170000000000001,0.257,D,"Matsui, Doris O.",D,0.7426556035359816,0.20800795821934842
CA-06,Sparse suburban,0.10858960177754448,0.3511116961762231,0.36594550619329785,0.1743531958529346,0.76,0.22,0.7,0.28,0.62,0.3,0.652,0.304,D,"Woolsey, Lynn C.",D,0.7169139910476273,0.24058096778019866
CA-07,Dense suburban,0.05054303382170173,0.230672891666796,0.3490314916159576,0.3697525828955447,0.72,0.27,0.67,0.32,0.66,0.31,0.6729999999999999,0.327,D,"Miller, George",D,0.7282012837932812,0.2179381785810123
CA-08,Pure urban,0.006280434576560054,0.0060464928874618285,0.02050288957276243,0.9671701829632157,0.85,0.12,0.85,0.14,0.77,0.15,0.804,0.14800000000000002,D,"Pelosi, Nancy",D,0.7186613706717336,0.09680732838557461
CA-09,Pure urban,0.00569833306339298,0.061205376459634725,0.12676477346642337,0.806331517010549,0.88,0.1,0.86,0.13,0.79,0.13,0.8340000000000001,0.11599999999999999,D,"Lee, Barbara",D,0.8606448126801153,0.09696325648414986
CA-10,Dense suburban,0.06773758175386904,0.29047072530315254,0.3631397305178418,0.27865196242513657,0.65,0.33,0.59,0.4,0.55,0.41,0.581,0.385,D,"Garamendi, John",D,0.6512493012382905,0.31127335558077684
CA-11,Dense suburban,0.115349360829709,0.27119522631571064,0.4102006288648884,0.20325478398969196,0.54,0.44,0.45,0.54,0.45,0.53,0.474,0.475,D,"McNerney, Jerry",R,0.5527256599107575,0.4472340196763615
CA-12,Urban-suburban mix,0,0.09443655576746472,0.2118470032922613,0.693716440940274,0.74,0.24,0.72,0.27,0.67,0.29,0.748,0.22899999999999998,D,"Speier, Jackie",D,0.7511326460635631,0.1845885187725077
CA-13,Urban-suburban mix,0.022891534342801112,0.0788962786501037,0.20014167533937052,0.6980705116677246,0.74,0.24,0.71,0.28,0.67,0.3,0.715,0.285,D,"Stark, Fortney Pete",D,0.7643029925415529,0.2356970074584471
CA-14,Urban-suburban mix,0.0701839785069005,0.16765374502944871,0.21169681226992396,0.5504654641937268,0.73,0.25,0.68,0.3,0.62,0.34,0.6829999999999999,0.287,D,"Eshoo, Anna G.",D,0.6976712640138434,0.2222051135405439
CA-15,Urban-suburban mix,0.015243906146425516,0.08305617939934307,0.18558443560034282,0.7161154788538886,0.68,0.3,0.63,0.36,0.6,0.36,0.665,0.335,D,"Honda, Michael M.",D,0.7166172790866302,0.23257149323732443
CA-16,Urban-suburban mix,0.013360709315361258,0.0746216411556843,0.2189457890461471,0.6930718604828073,0.7,0.29,0.63,0.36,0.64,0.33,0.6709999999999999,0.255,D,"Lofgren, Zoe",D,0.7134034978351605,0.24058696615642367
CA-17,Urban-suburban mix,0.20093399106332957,0.1734925507241718,0.2623165952479309,0.3632568629645677,0.72,0.26,0.66,0.33,0.6,0.33,0.664,0.303,D,"Farr, Sam",D,0.7387917384724397,0.25822522372783496
CA-18,Dense suburban,0.12579565778219023,0.26272041049789124,0.4334479014628477,0.17803603025707077,0.59,0.39,0.49,0.5,0.53,0.44,0.5760000000000001,0.424,D,"Cardoza, Dennis A.",D,1,0
CA-19,Dense suburban,0.24746322781730345,0.1851913704283752,0.40517014232926934,0.16217525942505204,0.46,0.52,0.38,0.61,0.39,0.58,0.353,0.647,R,"Radanovich, George",R,0,0.9843163958462612
CA-20,Sparse suburban,0.24036341869462294,0.2401860581108669,0.36472380331479604,0.15472671987971418,0.6,0.39,0.51,0.48,0.55,0.44,0.511,0.489,D,"Costa, Jim",D,0.7433455062689287,0.25665449373107135
CA-21,Sparse suburban,0.25541905750473454,0.2292521393168819,0.4191979051707585,0.09613089800762512,0.42,0.56,0.34,0.65,0.37,0.61,0,1,R,"Nunes, Devin",R,0.3160736839596788,0.6839263160403213
CA-22,Sparse suburban,0.2386739605310868,0.24272891720209044,0.39027773958485007,0.12831938268197263,0.38,0.6,0.31,0.68,0.33,0.64,0,1,R,"McCarthy, Kevin",R,0,1
CA-23,Urban-suburban mix,0.04623020551455317,0.24479810917355538,0.30870377938703103,0.4002679059248605,0.66,0.32,0.58,0.4,0.54,0.4,0.5710000000000001,0.384,D,"Capps, Lois",D,0.6807433237485504,0.31925667625144966
CA-24,Dense suburban,0.16674174022816945,0.259424867634012,0.39925819144640495,0.17457520069141366,0.51,0.48,0.43,0.56,0.43,0.54,0.39899999999999997,0.601,R,"Gallegly, Elton",R,0.4184608001279778,0.5815391998720222
CA-25,Sparse suburban,0.19421147164211516,0.2593446692895526,0.418549803927848,0.12789405514048427,0.49,0.48,0.4,0.59,0.42,0.56,0.377,0.623,R,"McKeon, Howard P. ""Buck''",R,0.42272007151151886,0.5772799284884811
CA-26,Dense suburban,0.0098680566165772355,0.15821979928317684,0.5123778286036539,0.319534315496592,0.51,0.47,0.44,0.55,0.44,0.53,0.363,0.5479999999999999,R,"Dreier, David",R,0.4044435293677236,0.5263916445176506
CA-27,Urban-suburban mix,0.007178159459510461,0.06419954255505263,0.25875653710747215,0.6698657608779647,0.66,0.32,0.59,0.39,0.6,0.36,0.648,0.35200000000000004,D,"Sherman, Brad",D,0.6850940869687786,0.24832381892076022
CA-28,Pure urban,3.032460669261555e-6,0.02270283186127539,0.1533620905829901,0.8239320450950652,0.76,0.22,0.71,0.28,0.73,0.24,0.695,0.225,D,"Berman, Howard L.",D,0.9989100500650336,0
CA-29,Pure urban,2.6402627928900407e-5,0.044466691132001385,0.14631053175039035,0.8091963744896794,0.68,0.3,0.61,0.37,0.58,0.38,0.653,0.316,D,"Schiff, Adam B.",D,0.6891451089825779,0.2673985594690399
CA-30,Urban-suburban mix,0.02639813982799039,0.15464111842897188,0.2327367825307305,0.5862239592123073,0.7,0.28,0.66,0.33,0.68,0.28,0.647,0.32,D,"Waxman, Henry A.",D,1,0
CA-31,Pure urban,2.6826128239315915e-4,0,0.06967533112332491,0.930056407594282,0.8,0.18,0.77,0.22,0.77,0.19,0.841,0.159,D,"Becerra, Xavier",D,1,0
CA-32,Urban-suburban mix,0.0022141624287696396,0.034770903151529496,0.2690647069288364,0.6939502274908644,0.68,0.3,0.62,0.37,0.67,0.31,0.7120000000000001,0.28800000000000003,D,"Chu, Judy",D,0.9999385324625433,0
CA-33,Pure urban,1.5601612516747425e-6,0,0.0425425633374967,0.9574558765012516,0.87,0.12,0.83,0.16,0.83,0.14,0.863,0.13699999999999998,D,"Watson, Diane E.",D,0.8756863112526937,0.12431368874730629
CA-34,Pure urban,0.002301685849320527,0.028948361003970854,0.07230034345906021,0.8964496096876484,0.75,0.23,0.69,0.3,0.72,0.26,0.774,0.226,D,"Roybal-Allard, Lucille",D,0.7709460041168046,0.22905399588319544
CA-35,Pure urban,4.5289873943244585e-6,0,0.08415679080204448,0.9158386802105613,0.84,0.14,0.79,0.2,0.82,0.17,0.7929999999999999,0.207,D,"Waters, Maxine",D,0.8258233422244617,0.132375574408886
CA-36,Pure urban,9.902421106829733e-4,0,0.09077812824597206,0.908231629643345,0.64,0.34,0.59,0.4,0.57,0.39,0.596,0.349,D,"Harman, Jane",D,0.6864438243290178,0.3135561756709822
CA-37,Pure urban,1.3082600671272563e-4,0.012141403052091044,0.199580902747377,0.7881468681938193,0.8,0.19,0.74,0.25,0.76,0.22,0.691,0.22699999999999998,D,"Richardson, Laura",D,0.7494465113094287,0
CA-38,Urban-suburban mix,0.003667160224220329,0.06671740546184296,0.29267637920651673,0.63693905510742,0.71,0.27,0.65,0.34,0.7,0.28,0.74,0.26,D,"Napolitano, Grace F.",D,0.8172717230298009,0
CA-39,Pure urban,0,0.016351111734114465,0.21140025160917447,0.7722486366567111,0.65,0.32,0.59,0.4,0.62,0.36,0.639,0.32,D,"Sánchez, Linda T.",D,0.6967389974530369,0.3032610025469631
CA-40,Urban-suburban mix,7.496388712386157e-4,0.03135472142368698,0.3107418988273588,0.6571537408777155,0.47,0.51,0.39,0.6,0.41,0.56,0.32799999999999996,0.672,R,"Royce, Edward R.",R,0.3745095923520145,0.6254904076479855
CA-41,Sparse suburban,0.15436894568858128,0.450772448785196,0.3493259136983761,0.04553269182784652,0.44,0.54,0.37,0.62,0.41,0.56,0.37,0.63,R,"Lewis, Jerry",R,0.38350985697719364,0.6164901430228064
CA-42,Dense suburban,0.019233848463666298,0.22986234237213815,0.5327169630457388,0.21818684611845673,0.45,0.53,0.37,0.62,0.39,0.59,0.314,0.626,R,"Miller, Gary G.",R,0.3984193716223658,0.6015806283776343
CA-43,Dense suburban,0.009061377750464927,0.11737566623133477,0.5630392732419156,0.3105236827762848,0.68,0.3,0.58,0.41,0.64,0.34,0.629,0.371,D,"Baca, Joe",D,0.6914371115979332,0.3085628884020668
CA-44,Dense suburban,0.023158105510590134,0.2935773234662737,0.4888387752223604,0.19442579580077576,0.5,0.49,0.4,0.59,0.44,0.53,0.418,0.5820000000000001,R,"Calvert, Ken",R,0.48808834363562587,0.5119116563643742
CA-45,Dense suburban,0.14678177501119807,0.2241180547177889,0.5007370795257634,0.12836309074524954,0.52,0.47,0.43,0.56,0.47,0.51,0.413,0.522,R,"Bono Mack, Mary",R,0.41708992005770273,0.5829100799422973
CA-46,Urban-suburban mix,0.007122255121242794,0.05225585474033528,0.3229510653263635,0.6176708248120585,0.48,0.5,0.42,0.57,0.42,0.55,0.381,0.619,R,"Rohrabacher, Dana",R,0.43077780543121247,0.5251667677380231
CA-47,Pure urban,3.0091652903008595e-5,0.0222709906906372,0.07814981858566027,0.8995490990707996,0.6,0.38,0.49,0.5,0.56,0.42,0.51,0.42100000000000004,D,"Sanchez, Loretta",D,0.6948957793889177,0.2543371310201968
CA-48,Urban-suburban mix,7.91794056781461e-4,0.14878733492664242,0.4123638365395905,0.43805703447698563,0.491,0.489,0.4,0.58,0.4,0.58,0.36200000000000004,0.602,R,"Campbell, John",R,0.4066607926090534,0.55606377671670415
CA-49,Dense suburban,0.14466671715557794,0.2724245656690405,0.4255179466560408,0.1573907705193408,0.45,0.53,0.36,0.63,0.39,0.59,0.312,0.633,R,"Issa, Darrell E.",R,0.3745294386504342,0.582955914738023
CA-50,Dense suburban,0.01871025403283872,0.23279204405363682,0.5095008007410872,0.23899690117243724,0.51,0.47,0.44,0.55,0.43,0.54,0.387,0.57,R,"Bilbray, Brian P.",R,0.4517834017007866,0.5023955190078532
CA-51,Urban-suburban mix,0.10227919493654802,0.1466361867514655,0.3203856301387025,0.43069898817328395,0.63,0.35,0.53,0.46,0.57,0.41,0.596,0.40399999999999997,D,"Filner, Bob",D,0.727491720838955,0.24209493437998283
CA-52,Dense suburban,0.08257444570460631,0.15122114053251617,0.5076625743248547,0.2585418394380227,0.45,0.53,0.38,0.61,0.4,0.57,0.317,0.636,R,"Hunter, Duncan",R,0.38946404898680637,0.5636709242542207
CA-53,Pure urban,0.026333056406031397,0.051913450546848955,0.16204397693739003,0.7597095161097297,0.68,0.3,0.61,0.38,0.58,0.38,0.617,0.348,D,"Davis, Susan A.",D,0.6848672423601736,0.2745073065525469
CO-01,Urban-suburban mix,0.0028245883094945154,0.06636574147286659,0.2889564096738355,0.6418532605438034,0.74,0.24,0.68,0.31,0.61,0.33,0.6759999999999999,0.28800000000000003,D,"DeGette, Diana",D,0.7193529368153109,0.23776253402483327
CO-02,Dense suburban,0.1916729165473262,0.1913495837248672,0.40132558498716037,0.21565191474064627,0.64,0.34,0.58,0.41,0.52,0.43,0.561,0.392,D,"Polis, Jared",D,0.6259711753980512,0.33858745514301974
CO-03,Pure rural,0.5054408697849216,0.2576514111597144,0.20380475705636075,0.03310296199900327,0.47,0.5,0.44,0.55,0.39,0.54,0.457,0.502,D,"Salazar, John T.",R,0.6161274790366393,0.38387252096336066
CO-04,Rural-suburban mix,0.3248175632447301,0.2107705218534408,0.3647739981341679,0.09963791676766118,0.49,0.5,0.41,0.58,0.37,0.57,0.405,0.534,D,"Markey, Betsy",R,0.5619686961947099,0.4380313038052901
CO-05,Dense suburban,0.20381171014418387,0.21876532181745142,0.47808161914540337,0.09934134889296141,0.4,0.59,0.33,0.66,0.31,0.63,0.28800000000000003,0.662,R,"Lamborn, Doug",R,0.3704042340526635,0.6003014960100935
CO-06,Dense suburban,0.14325357568918104,0.25516809036768157,0.4840593457182525,0.1175189882248849,0.46,0.53,0.39,0.6,0.37,0.6,0.312,0.6609999999999999,R,"Coffman, Mike",R,0.39331056931016306,0.6066894306898369
CO-07,Dense suburban,0.041501357816815625,0.16706676989784922,0.4885159495705868,0.3029159227147484,0.59,0.4,0.51,0.48,0.5,0.49,0.531,0.42200000000000004,D,"Perlmutter, Ed",D,0.6348204705212523,0.3651795294787477
CT-01,Sparse suburban,0.04740494264254423,0.44059714586433474,0.3130463748606112,0.19895153663250983,0.66,0.33,0.6,0.39,0.62,0.33,0.616,0.369,D,"Larson, John B.",D,0.7155743223811312,0.26005136065124496
CT-02,Rural-suburban mix,0.27364846386028974,0.5625568235962037,0.1342652392947859,0.02952947324872057,0.59,0.4,0.54,0.44,0.54,0.4,0.603,0.384,D,"Courtney, Joe",D,0.6567215926151789,0.32371742286582816
CT-03,Sparse suburban,0.012630222319498003,0.3912648163917403,0.3841196117008923,0.21198534958786933,0.63,0.36,0.56,0.42,0.6,0.34,0.626,0.361,D,"DeLauro, Rosa L.",D,0.7740308304861316,0.1970050577062764
CT-04,Sparse suburban,0.01128134397722643,0.4260615827103025,0.24416546838055272,0.3184916049319183,0.6,0.4,0.52,0.46,0.53,0.43,0.501,0.499,D,"Himes, James A.",D,0.5132361323418918,0.47560043526698964
CT-05,Sparse suburban,0.10403499923739121,0.509798848989763,0.22217180038387283,0.16399435138897295,0.56,0.42,0.491,0.489,0.52,0.43,0.541,0.45899999999999996,D,"Murphy, Christopher S.",D,0.5925090118517001,0.3895961434891643
DE-AL,Sparse suburban,0.19509563063655014,0.4272530052320104,0.29259945608474563,0.08505190804669385,0.62,0.37,0.53,0.46,0.55,0.42,0.568,0.41,R,"Castle, Michael N.",D,0.37989710914576724,0.6107996482097874
FL-01,Rural-suburban mix,0.28328049385682186,0.49598562511080524,0.2150752199564634,0.005658661075909524,0.32,0.67,0.28,0.72,0.31,0.69,0,0.8059999999999999,R,"Miller, Jeff",R,0.2981596832409855,0.7018403167590145
FL-02,Pure rural,0.4809422680843437,0.30328187902230364,0.1630000009776068,0.05277585191574587,0.45,0.54,0.46,0.54,0.47,0.53,0.414,0.535,D,"Boyd, Allen",R,0.6187911532764215,0.38075503686134826
FL-03,Dense suburban,0.125381656858532,0.2443913982261285,0.5375790847392391,0.09264786017610045,0.73,0.26,0.65,0.35,0.65,0.35,0.627,0.342,D,"Brown, Corrine",D,1,0
FL-04,Rural-suburban mix,0.301236597501134,0.3005902252499957,0.3804246329039024,0.017748544344967865,0.38,0.61,0.31,0.69,0.34,0.66,0,0.772,R,"Crenshaw, Ander",R,0.3474531361918461,0.652546863808154
FL-05,Rural-suburban mix,0.29817236913317874,0.5357057770088195,0.16612185385800174,0,0.43,0.56,0.41,0.58,0.46,0.54,0.32799999999999996,0.672,R,"Brown-Waite, Ginny",R,0.3884538041472954,0.6115461958527046
FL-06,Rural-suburban mix,0.2614794606626718,0.5157821737188139,0.19342048946595927,0.02931787615255507,0.43,0.56,0.39,0.61,0.42,0.58,0,0.715,R,"Stearns, Cliff",R,0.39112484898268335,0.6088751510173167
FL-07,Sparse suburban,0.12984534228888722,0.5359441436260955,0.3310373801479741,0.0031731339370431122,0.46,0.53,0.43,0.57,0.46,0.54,0,0.31,R,"Mica, John L.",R,0.3799663907452476,0.6200336092547525
FL-08,Sparse suburban,0.09745588740276953,0.42911814423163286,0.37894011181896936,0.09448585654662833,0.53,0.47,0.45,0.55,0.46,0.54,0.382,0.562,D,"Grayson, Alan",R,0.5201056736393617,0.4798943263606384
FL-09,Sparse suburban,0.03776574977733612,0.3807039691859587,0.5169828591162633,0.06454742192044194,0.47,0.52,0.43,0.57,0.46,0.54,0.28600000000000003,0.7140000000000001,R,"Bilirakis, Gus M.",R,0.36266928451279934,0.621712622496254
FL-10,Dense suburban,0.005874909582554292,0.13410972408976193,0.5990846758353623,0.2609306904923215,0.51,0.47,0.49,0.51,0.51,0.49,0.341,0.659,R,"Young, C. W. Bill",R,0.39316778434366906,0.606802337162207
FL-11,Dense suburban,0.018672959023695822,0.13071382097418274,0.6039605276880415,0.24665269231407985,0.66,0.33,0.58,0.41,0.61,0.39,0.598,0.402,D,"Castor, Kathy",D,0.7165581420692715,0.28344185793072846
FL-12,Sparse suburban,0.11302931253606932,0.5727336626232413,0.30283002454609403,0.011407000294595399,0.49,0.5,0.42,0.58,0.45,0.55,0.41100000000000003,0.48100000000000004,R,"Putnam, Adam H.",R,0.4253735730885033,0.5746264269114967
FL-13,Sparse suburban,0.10899655525982585,0.4494593035613485,0.3941209433400134,0.04742319783881226,0.47,0.52,0.44,0.56,0.46,0.55,0.311,0.6890000000000001,R,"Buchanan, Vern",R,0.3749144012434918,0.5553919064337656
FL-14,Sparse suburban,0.08738140989235174,0.5143707010304683,0.3829943952956884,0.015253493781491583,0.42,0.57,0.38,0.62,0.39,0.61,0.27699999999999997,0.682,R,"Mack, Connie",R,0.2476640089337931,0.5943565737209936
FL-15,Sparse suburban,0.10489359856379339,0.5444438993349628,0.33269617759384706,0.017966324507396804,0.48,0.51,0.43,0.57,0.46,0.54,0.353,0.647,R,"Posey, Bill",R,0.41990377786559296,0.5309930886973535
FL-16,Sparse suburban,0.1852497384341075,0.48662812417486273,0.323236868801376,0.004885268589653885,0.47,0.52,0.46,0.54,0.47,0.53,0.331,0.669,R,"Rooney, Thomas J.",R,0.399067135866593,0.600932864133407
FL-17,Urban-suburban mix,9.530562774007973e-6,0.007966729299895071,0.4163456188072377,0.5756781213300933,0.87,0.12,0.83,0.17,0.85,0.15,0.863,0,D,"Meek, Kendrick B.",D,1,0
FL-18,Urban-suburban mix,0.05379880859467524,0.11681745491993258,0.18186783115300845,0.6475159053323838,0.51,0.49,0.46,0.54,0.43,0.57,0.312,0.688,R,"Ros-Lehtinen, Ileana",R,0.4213030219474956,0.5786969780525044
FL-19,Dense suburban,0.003019963133609941,0.12014157473107007,0.5412327237757275,0.3356057383595925,0.65,0.34,0.66,0.34,0.73,0.27,0.627,0.373,D,"Deutch, Theodore E.",D,0.661572494739181,0.2723764524435034
FL-20,Urban-suburban mix,0,0.12775791113060384,0.44178379050724365,0.43045829836215255,0.63,0.36,0.64,0.36,0.69,0.31,0.602,0.38,D,"Wasserman Schultz, Debbie",D,0.7747623176559116,0
FL-21,Urban-suburban mix,0,0.09565166136986701,0.4084254121415186,0.4959229264886144,0.49,0.51,0.43,0.57,0.42,0.58,0,1,R,"Diaz-Balart, Lincoln",R,0.4209922279136885,0.5790077720863115
FL-22,Dense suburban,0.010053273285957239,0.13376634165264253,0.6119711027075169,0.24420928235388334,0.52,0.48,0.52,0.48,0.52,0.48,0.457,0.5429999999999999,D,"Klein, Ron",R,0.5467910503281568,0.4531895416802792
