CD,Cluster,Very low density,Low density,Medium density,High density,obama08,mccain08,kerry04,bush04,gore00,bush00,cong_D10,cong_R10,incumbent2010,Incumbent,winner2010,cong_D08,cong_R08
FL-23,Dense suburban,0.05945722691337495,0.12089612274102182,0.4997968163529144,0.31984983399268885,0.83,0.17,0.76,0.24,0.8,0.2,0.7909999999999999,0.209,D,"Hastings, Alcee L.",D,0.8218262912137552,0.177983509742946
FL-24,Sparse suburban,0.14061844347678723,0.38891614418634507,0.4360975500017019,0.03436786233516574,0.49,0.51,0.45,0.55,0.47,0.53,0.40299999999999997,0.597,D,"Kosmas, Suzanne M.",R,0.572011803882286,0.4111405907355768
FL-25,Dense suburban,0.09657459525593076,0.19279500396115906,0.34769767152299086,0.3629327292599194,0.49,0.5,0.44,0.56,0.45,0.55,0.424,0.524,R,"Diaz-Balart, Mario",R,0.4694561653108293,0.5305438346891708
GA-01,Pure rural,0.6290753219686623,0.27693522621126654,0.09398945182007105,0,0.36,0.63,0.34,0.66,0.38,0.62,0.28300000000000003,0.7170000000000001,R,"Kingston, Jack",R,0.3346675543648279,0.6653324456351721
GA-02,Pure rural,0.6089728549048398,0.2279660753369821,0.1602635028868991,0.0027975668712789353,0.54,0.46,0.499,0.501,0.52,0.48,0.514,0.486,D,"Bishop, Sanford D. Jr.",D,0.6894893509613292,0.31051064903867076
GA-03,Rural-suburban mix,0.35808682457595187,0.5890240786606219,0.052889096763426145,0,0.35,0.64,0.29,0.7,0.33,0.67,0.309,0.691,R,"Westmoreland, Lynn A.",R,0.3430497985871913,0.6569414443341701
GA-04,Dense suburban,0.01419182520378743,0.2913460746435737,0.6031530083997767,0.0913090917528621,0.79,0.21,0.71,0.28,0.7,0.3,0.746,0.254,D,"Johnson, Henry C. ""Hank'' Jr.",D,0.9991099005758943,0
GA-05,Dense suburban,0.003835319197533214,0.19034515969393584,0.5462579815244838,0.2595615395840471,0.79,0.2,0.74,0.26,0.73,0.27,0.737,0.263,D,"Lewis, John",D,0.9995420651995472,0
GA-06,Sparse suburban,0.04368842514430784,0.4236894236326889,0.47858338280950236,0.05403876841350098,0.37,0.62,0.29,0.7,0.32,0.68,0,1,R,"Price, Tom",R,0.3151734398987195,0.6848265601012805
GA-07,Sparse suburban,0.05225934363001781,0.7150561195686962,0.2201402128359021,0.012544323965383878,0.39,0.6,0.3,0.7,0.31,0.69,0.32899999999999996,0.6709999999999999,R,"Linder, John",R,0.3797157442824425,0.6202842557175575
GA-08,Rural-suburban mix,0.4578047156183351,0.45121878147863786,0.09097650290302704,0,0.43,0.56,0.39,0.61,0.42,0.58,0.474,0.526,D,"Marshall, Jim",R,0.5724369919217145,0.42756300807828546
GA-09,Rural-suburban mix,0.41827061492013495,0.5737896092183656,0.007939775861499498,0,0.24,0.75,0.23,0.77,0.29,0.71,0,1,R,"Graves, Tom",R,0.2448946290316981,0.7551053709683019
GA-10,Pure rural,0.529067234233496,0.3097793110000963,0.1557081404274289,0.005445314338978826,0.38,0.61,0.35,0.65,0.37,0.63,0.327,0.6729999999999999,R,"Broun, Paul C.",R,0.3927263508768324,0.6072736491231676
GA-11,Rural-suburban mix,0.30590371120387455,0.5348527936937808,0.15707327125075732,0.0021702238515872684,0.33,0.66,0.29,0.71,0.35,0.66,0,1,R,"Gingrey, Phil",R,0.31814020621312256,0.6818597937868774
GA-12,Pure rural,0.5183687219340744,0.2913821390528813,0.15362927724678432,0.03661986176625991,0.54,0.45,0.49,0.5,0.52,0.48,0.5670000000000001,0.433,D,"Barrow, John",D,0.6600036096015401,0.3399963903984599
GA-13,Sparse suburban,0.009795470087407655,0.5752607491608922,0.3882487460093259,0.026695034742374182,0.71,0.28,0.6,0.4,0.57,0.43,0.6920000000000001,0.308,D,"Scott, David",D,0.690449605853024,0.3095503941469761
HI-01,Urban-suburban mix,0.018303855271105392,0.13279471727758252,0.2814119914611369,0.5674894359901752,0.7,0.28,0.53,0.47,0.55,0.39,0.532,0.46799999999999997,R,"Djou, Charles K.",D,0.7713601144474957,0.19065412146040606
HI-02,Rural-suburban mix,0.38003775062500633,0.3286347903615279,0.21477425810481787,0.07655320090864796,0.73,0.25,0.56,0.44,0.56,0.36,0.723,0.252,D,"Hirono, Mazie K.",D,0.7606119845443615,0.20386482740897785
IA-01,Rural-suburban mix,0.34837863802576274,0.3281688275325555,0.25743113759403663,0.06602139684764512,0.58,0.41,0.53,0.46,0.52,0.45,0.495,0.47600000000000003,D,"Braley, Bruce L.",D,0.6456225032714266,0.3536904108359315
IA-02,Rural-suburban mix,0.3539693584341619,0.36867325112425425,0.23904899042612135,0.03830840001546252,0.6,0.38,0.55,0.44,0.53,0.43,0.51,0.46,D,"Loebsack, David",D,0.5719387122255661,0.3877098035631516
IA-03,Rural-suburban mix,0.28899762659706346,0.2811501348665973,0.377556391680008,0.052295846856331256,0.54,0.44,0.499,0.501,0.49,0.48,0.507,0.467,D,"Boswell, Leonard L.",D,0.5631016042780749,0.4206009676597912
IA-04,Pure rural,0.5573818637641164,0.3160904170228405,0.11624858282457214,0.01027913638847096,0.53,0.45,0.48,0.51,0.48,0.49,0.319,0.657,R,"Latham, Tom",R,0.3940783483082627,0.6052787033984875
IA-05,Pure rural,0.538237744024189,0.3040749636766975,0.1274527970241734,0.030234495274940126,0.44,0.54,0.39,0.6,0.4,0.57,0.32299999999999995,0.6579999999999999,R,"King, Steve",R,0.373573328032346,0.597973872633778
ID-01,Rural-suburban mix,0.38827153535465014,0.3650138973538435,0.24671456729150648,0,0.36,0.62,0.3,0.69,0.28,0.68,0.415,0.508,D,"Minnick, Walt",R,0.5060575111123897,0.4939424888876102
ID-02,Pure rural,0.4768299180585946,0.21113258739600313,0.2282493489296172,0.08378814561578496,0.36,0.61,0.3,0.69,0.28,0.67,0.24600000000000002,0.687,R,"Simpson, Michael K.",R,0.2889684325121354,0.7089231638457006
IL-01,Urban-suburban mix,0,0.06095614884253832,0.28087654493628395,0.6581673062211778,0.87,0.13,0.83,0.17,0.84,0.16,0.8,0.162,D,"Rush, Bobby L.",D,0.8586535591771464,0.1413464408228536
IL-02,Dense suburban,0,0.23575715309089693,0.40611659294346114,0.35812625396564196,0.9,0.1,0.84,0.16,0.83,0.17,0.805,0.139,D,"Jackson, Jesse L. Jr.",D,0.8941362509616206,0.1058530643644756
IL-03,Urban-suburban mix,0,0.05655884889490892,0.2916200386493819,0.6518211124557092,0.64,0.35,0.59,0.41,0.58,0.4,0.696,0.244,D,"Lipinski, Daniel",D,0.7327533499770724,0.21371919634517078
IL-04,Pure urban,0,0.016970596969816388,0.0348028737816353,0.9482265292485482,0.85,0.13,0.79,0.21,0.79,0.2,0.773,0.14400000000000002,D,"Gutierrez, Luis V.",D,0.806047018036474,0.11478016704153117
IL-05,Pure urban,0,0.017458786810057393,0.105171440352872,0.8773697728370707,0.73,0.26,0.67,0.33,0.66,0.34,0.706,0.254,D,"Quigley, Mike",D,0.7394279576598582,0.22036709803717755
IL-06,Dense suburban,0,0.20584978898718315,0.628423891445509,0.16572631956730782,0.56,0.43,0.47,0.53,0.44,0.53,0.363,0.637,R,"Roskam, Peter J.",R,0.42429538404051176,0.5757046159594882
IL-07,Pure urban,0,0.02245923351539844,0.1492777718652519,0.8282629946193497,0.88,0.12,0.83,0.17,0.83,0.16,0.8140000000000001,0.162,D,"Davis, Danny K.",D,0.8501753866272664,0.14982461337273362
IL-08,Sparse suburban,0.051183892661196356,0.4898512374287203,0.3747336802690123,0.084231189641071,0.56,0.43,0.44,0.56,0.42,0.56,0.48200000000000004,0.486,D,"Bean, Melissa L.",R,0.6072041282463413,0.39279587175365877
IL-09,Urban-suburban mix,0,0.015708390216724225,0.2522037031873026,0.7320879065959731,0.72,0.26,0.68,0.32,0.67,0.31,0.659,0.315,D,"Schakowsky, Janice D.",D,0.7466248656101504,0.21991924298505502
IL-10,Dense suburban,0.018812353203376604,0.30074126144976765,0.5367996088334299,0.14364677651342583,0.61,0.38,0.53,0.47,0.51,0.47,0.488,0.512,R,"Kirk, Mark Steven",R,0.4744110033029136,0.5255889966970865
IL-11,Rural-suburban mix,0.2766996211970123,0.41697740805314654,0.25010955081655456,0.05621341993328652,0.53,0.45,0.46,0.53,0.48,0.5,0.425,0.575,D,"Halvorson, Deborah L.",R,0.5840041523144435,0.3447930920586986
IL-12,Rural-suburban mix,0.3309964181495529,0.43613983897989733,0.21968970830270224,0.013174034567847454,0.54,0.44,0.52,0.48,0.54,0.43,0.596,0.36700000000000005,D,"Costello, Jerry F.",D,0.7139656785643619,0.24945251374165356
IL-13,Dense suburban,0.004222031973805148,0.2971412396433808,0.631705103856903,0.06693162452591102,0.54,0.45,0.45,0.55,0.42,0.55,0.596,0.36700000000000005,R,"Biggert, Judy",D,0.43647915303563656,0.5355344301316572
IL-14,Sparse suburban,0.11536715292353182,0.5108632739645173,0.2757193702760416,0.09805020283590939,0.55,0.44,0.44,0.55,0.43,0.54,0.45,0.514,D,"Foster, Bill",R,0.5774800113375507,0.42251998866244933
IL-15,Rural-suburban mix,0.40965972549623003,0.3698582858211382,0.13993308472378652,0.08054890395884527,0.48,0.5,0.41,0.59,0.43,0.54,0.35700000000000004,0.643,R,"Johnson, Timothy V.",R,0.3581063002119967,0.6418936997880034
IL-16,Rural-suburban mix,0.31156375499705397,0.3296637108978501,0.32480448036402887,0.03396805374106707,0.53,0.45,0.44,0.55,0.43,0.54,0.31,0.65,R,"Manzullo, Donald A.",R,0.3607968739991032,0.60867016847095
IL-17,Rural-suburban mix,0.3515203596131122,0.3102068073349282,0.30322162560251315,0.035051207449446516,0.56,0.42,0.51,0.48,0.54,0.44,0.423,0.531,D,"Hare, Phil",R,0.997665682370258,0
IL-18,Rural-suburban mix,0.39630329605846487,0.33895870330480693,0.22629049149416236,0.03844750914256587,0.48,0.5,0.42,0.58,0.44,0.54,0.258,0.691,R,"Schock, Aaron",R,0.3793826268672119,0.5888296225587575
IL-19,Pure rural,0.5718129805537454,0.31616693014413744,0.10258882138627437,0.009431267915842761,0.44,0.54,0.39,0.61,0.41,0.56,0.28800000000000003,0.7120000000000001,R,"Shimkus, John",R,0.3337822294186426,0.6446168909562754
IN-01,Sparse suburban,0.13188415886819213,0.4385689936751254,0.36022824964168604,0.06931859781499633,0.62,0.37,0.55,0.44,0.56,0.42,0.585,0.387,D,"Visclosky, Peter J.",D,0.7090014254207119,0.2717766699051847
IN-02,Rural-suburban mix,0.30013596333278475,0.37611699645154173,0.2971933004783619,0.02655373973731157,0.54,0.45,0.43,0.56,0.45,0.53,0.48200000000000004,0.46799999999999997,D,"Donnelly, Joe",D,0.6709099110064222,0.3023311592075777
IN-03,Rural-suburban mix,0.3830558393032586,0.37336781218185655,0.21587568825897224,0.02770066025591256,0.43,0.56,0.31,0.68,0.33,0.66,0.331,0.628,Vacant,Vacant,R,0.397021341280194,0.5503872680545392
IN-04,Rural-suburban mix,0.3254811945895805,0.4085237460537458,0.23259529739630813,0.03339976196036557,0.43,0.56,0.3,0.69,0.32,0.66,0.261,0.6859999999999999,R,"Buyer, Steve",R,0.40128248186986104,0.598717518130139
IN-05,Rural-suburban mix,0.25440085983913185,0.4306038484159383,0.3068392427957774,0.008156048949152544,0.4,0.59,0.28,0.71,0.3,0.69,0.253,0.622,R,"Burton, Dan",R,0.34451296144243176,0.6554870385575683
IN-06,Pure rural,0.490960537753376,0.31290604868374244,0.17800499471712897,0.01812841884575262,0.46,0.53,0.35,0.64,0.4,0.59,0.299,0.6659999999999999,R,"Pence, Mike",R,0.3337853915555996,0.6395195671572029
IN-07,Dense suburban,0,0.18889834014873685,0.6513771064911545,0.15972455336010855,0.71,0.28,0.58,0.42,0.56,0.43,0.589,0.37799999999999995,D,"Carson, André",D,0.6507751631178407,0.3492097595543142
IN-08,Rural-suburban mix,0.4601083948817842,0.3069194223030073,0.21181292382683034,0.021159258988378116,0.47,0.51,0.38,0.62,0.42,0.57,0.377,0.573,D,"Ellsworth, Brad",R,0.6474017196066726,0.3525982803933274
IN-09,Pure rural,0.5284639681553268,0.25413093249565105,0.19191909673733298,0.025486002611689124,0.49,0.5,0.4,0.59,0.42,0.56,0.42200000000000004,0.523,D,"Hill, Baron P.",R,0.5776886209226141,0.3840900689602427
KS-01,Pure rural,0.6129315218774751,0.23869146517835985,0.14380513373874385,0.004571879205421189,0.3,0.69,0.26,0.72,0.29,0.67,0.228,0.738,R,"Moran, Jerry",R,0,0
KS-02,Pure rural,0.517289237494979,0.2593064001346077,0.1999014483153914,0.023502914055021886,0.43,0.55,0.39,0.59,0.41,0.54,0.32299999999999995,0.632,R,"Jenkins, Lynn",R,0,0
KS-03,Dense suburban,0.06040230497636239,0.262759670895923,0.6022018283555491,0.07463619577216547,0.51,0.48,0.44,0.55,0.42,0.53,0.38299999999999995,0.5870000000000001,D,"Moore, Dennis",R,0,0
KS-04,Sparse suburban,0.2564309471364798,0.3234084941453407,0.38823154429722045,0.0319290144209591,0.4,0.58,0.34,0.64,0.37,0.59,0.369,0.583,R,"Tiahrt, Todd",R,0,0
KY-01,Pure rural,0.7398129593685209,0.2169663988768572,0.04322064175462181,0,0.37,0.62,0.36,0.63,0.4,0.58,0.28800000000000003,0.7120000000000001,R,"Whitfield, Ed",R,0.35649924490400525,0.6434826905985129
KY-02,Pure rural,0.5545090935837642,0.2908845626722865,0.15148542109469224,0.0031209226492570834,0.38,0.61,0.34,0.65,0.37,0.62,0.321,0.679,R,"Guthrie, Brett",R,0.4742702148421349,0.5257297851578652
KY-03,Dense suburban,0.008307064011514355,0.22952872338475144,0.5730187209997156,0.18914549160401853,0.56,0.43,0.51,0.49,0.5,0.48,0.545,0.441,D,"Yarmuth, John A.",D,0.593654075778315,0.4063459242216851
KY-04,Rural-suburban mix,0.41863971484452117,0.3287068120553712,0.19947852976998803,0.053174943330119455,0.38,0.6,0.36,0.63,0.37,0.61,0.305,0.695,R,"Davis, Geoff",R,0.36966254527619724,0.6303374547238028
KY-05,Pure rural,0.8729203273522222,0.12216065208351384,0.004919020564263953,0,0.31,0.67,0.39,0.61,0.42,0.57,0.226,0.774,R,"Rogers, Harold",R,0,0.8410969838645305
KY-06,Rural-suburban mix,0.32551615248193233,0.2931368564855635,0.26907299124108564,0.1122739997914185,0.43,0.55,0.41,0.58,0.42,0.56,0.501,0.499,D,"Chandler, Ben",D,0.6465783678468754,0.3534216321531246
LA-01,Rural-suburban mix,0.2563997690824108,0.30483644923894143,0.2287499778898579,0.21001380378878987,0.26,0.73,0.28,0.71,0.31,0.67,0.192,0.785,R,"Scalise, Steve",R,0.3431826309777193,0.6568173690222807
LA-02,Dense suburban,0.022750224123861334,0.1292759290992184,0.4581974168413686,0.3897764299355516,0.74,0.25,0.75,0.24,0.76,0.22,0.6459999999999999,0.335,R,"Cao, Anh ""Joseph''",D,0.46825752818396577,0.4953799228491971
LA-03,Pure rural,0.4878186405966457,0.3653402725766014,0.1413559820672533,0.005485104759499612,0.37,0.61,0.41,0.58,0.45,0.52,0.36200000000000004,0.638,D,"Melancon, Charlie",R,1,0
LA-04,Pure rural,0.4822167061038381,0.2937764902844197,0.20046043376268702,0.023546369849055088,0.4,0.59,0.4,0.59,0.43,0.55,0.324,0.623,R,"Fleming, John",R,0.47693687076005703,0.48071771161906407
LA-05,Pure rural,0.5905226850277757,0.3197047515731567,0.0897725633990675,0,0.37,0.62,0.37,0.62,0.4,0.57,0,0.7859999999999999,R,"Alexander, Rodney",R,0,1
LA-06,Sparse suburban,0.22983932186669587,0.3966857562859951,0.3498462293074028,0.023628692539906307,0.41,0.57,0.4,0.59,0.43,0.55,0.344,0.6559999999999999,R,"Cassidy, Bill",R,0.4029435112158148,0.4811917443408788
LA-07,Rural-suburban mix,0.35690189605765005,0.3871951306545063,0.24545946170122276,0.010443511586621013,0.35,0.63,0.39,0.6,0.42,0.55,0,1,R,"Boustany, Charles W. Jr.",R,0.34327748263179403,0.6188390458925809
MA-01,Rural-suburban mix,0.346756988073605,0.41874794559628875,0.15495785759028524,0.07953720873982101,0.64,0.34,0.63,0.35,0.56,0.33,0.6,0.349,D,"Olver, John W.",D,0.7284590626783609,0.2704061817162503
MA-02,Sparse suburban,0.10526817387621115,0.475687736840911,0.28330143938763624,0.13574264989524162,0.59,0.39,0.59,0.4,0.58,0.35,0.58,0.42,D,"Neal, Richard E.",D,0.9847436974789916,0
MA-03,Sparse suburban,0.064032709960206,0.45923584620915875,0.25975297790601853,0.21697846592461673,0.59,0.39,0.59,0.4,0.59,0.35,0.565,0.392,D,"McGovern, James P.",D,0.9849074238339817,0
MA-04,Sparse suburban,0.08630404561653053,0.42154558717798496,0.23130793067799693,0.26084243652748756,0.64,0.35,0.65,0.33,0.65,0.29,0.539,0.434,D,"Frank, Barney",D,0.6795185884305929,0.2529251509431436
MA-05,Sparse suburban,0.044412529137313646,0.5146950093567171,0.17831902996875718,0.2625734315372121,0.59,0.39,0.57,0.41,0.57,0.36,0.547,0.425,D,"Tsongas, Niki",D,0.987068984347355,0
MA-06,Sparse suburban,0.021610031976695004,0.46672131979617354,0.2969541390517118,0.21471450917541962,0.58,0.41,0.58,0.41,0.57,0.36,0.574,0.426,D,"Tierney, John F.",D,0.7040384423862165,0.2951803854197789
MA-07,Urban-suburban mix,1.38853976327918e-5,0.15948756766988753,0.309588825620726,0.5309097213117537,0.65,0.33,0.66,0.33,0.64,0.29,0.66,0.34,D,"Markey, Edward J.",D,0.7563862306809842,0.24218866902758282
MA-08,Pure urban,0.002553154629377394,0.0077556999810639475,0.04646424111041236,0.9432269042791463,0.86,0.14,0.79,0.19,0.73,0.15,1,0,D,"Capuano, Michael E.",D,0.9855406582665789,0
MA-09,Dense suburban,0.008208896641045174,0.34928122306140874,0.35599246424231806,0.286517416055228,0.6,0.39,0.63,0.36,0.6,0.33,0.6859999999999999,0.258,D,"Lynch, Stephen F.",D,0.987247955514607,0
MA-10,Sparse suburban,0.08693201440072869,0.6988831511106721,0.11898780964714906,0.09519702484145,0.55,0.44,0.56,0.43,0.54,0.39,0.469,0.424,D,"Delahunt, Bill",D,0.9863593484004584,0
MD-01,Rural-suburban mix,0.32658457240226224,0.4617646047107082,0.19972331745192895,0.011927505435100643,0.4,0.58,0.36,0.62,0.4,0.57,0.415,0.547,D,"Kratovil, Frank Jr.",R,0.49119229915668,0.4832806258322237
MD-02,Dense suburban,0.021594662183197926,0.1706366501740575,0.443973438694963,0.3637952489477817,0.6,0.38,0.54,0.45,0.57,0.41,0.642,0.33399999999999996,D,"Ruppersberger, C. A. Dutch",D,0.7186184784300101,0.24811007009658637
MD-03,Dense suburban,0.009047338413611536,0.2445555482081719,0.43182593183864393,0.31457118153957253,0.59,0.39,0.54,0.45,0.55,0.41,0.607,0.364,D,"Sarbanes, John P.",D,0.696571698216435,0.30080903271692744
MD-04,Dense suburban,0.022300498721400233,0.20929121056635525,0.4486842402162159,0.3197240504960286,0.85,0.14,0.78,0.21,0.77,0.21,0.836,0.16399999999999998,D,"Edwards, Donna F.",D,0.8582528008068181,0.1285169740338585
MD-05,Rural-suburban mix,0.22722476373442993,0.4583722414936162,0.2374547284484238,0.0769482663235301,0.65,0.33,0.57,0.42,0.57,0.41,0.638,0.35100000000000003,D,"Hoyer, Steny H.",D,0.736468315099611,0.23972485501507146
MD-06,Rural-suburban mix,0.3707145617160331,0.4316409543850957,0.12584047309184718,0.07180401080702396,0.4,0.58,0.34,0.65,0.36,0.61,0.32899999999999996,0.618,R,"Bartlett, Roscoe G.",R,0.38787722934031194,0.5776271801775908
MD-07,Urban-suburban mix,0.05183413915526115,0.1431017288201,0.2667228737920837,0.5383412582325552,0.79,0.2,0.73,0.26,0.73,0.25,0.75,0.23199999999999998,D,"Cummings, Elijah E.",D,0.7949758758128802,0.18581567722536885
MD-08,Urban-suburban mix,0.011740754729932973,0.11547046389838958,0.4510714527239533,0.4217173286477241,0.74,0.25,0.69,0.3,0.66,0.31,0.73,0.253,D,"Van Hollen, Chris",D,0.7507499656878444,0.21682341330788787
ME-01,Pure rural,0.5122682363148172,0.3368690306126265,0.09838073940001346,0.05248199367254287,0.61,0.38,0.55,0.43,0.5,0.43,0.5720000000000001,0.428,D,"Pingree, Chellie",D,0.5489896117834574,0.45101038821654266
ME-02,Pure rural,0.7849589146558439,0.14072980665185514,0.04060189801862859,0.033709380673672344,0.55,0.43,0.52,0.46,0.48,0.45,0.55,0.45,D,"Michaud, Michael H.",D,0.6743537321706373,0.3256462678293626
MI-01,Pure rural,0.7451117904698482,0.21016504551553916,0.037943944379935576,0.006779219634677205,0.5,0.48,0.46,0.53,0.45,0.52,0.409,0.519,D,"Stupak, Bart",R,0.6503739674715406,0.32741980746470795
MI-02,Rural-suburban mix,0.4555221778541421,0.3813693336383188,0.15547722177995235,0.007631266727586775,0.48,0.51,0.39,0.6,0.38,0.59,0.318,0.6509999999999999,R,"Hoekstra, Peter",R,0.3481003993486917,0.6236364324850208
MI-03,Sparse suburban,0.2597451861553193,0.30641894784874346,0.3400719159147202,0.09376395008121709,0.489,0.491,0.4,0.59,0.38,0.6,0.375,0.597,R,"Ehlers, Vernon J.",R,0.3536870573702169,0.6110584736056225
MI-04,Pure rural,0.6493957321083447,0.2255905819565138,0.12501368593514142,0,0.5,0.48,0.44,0.55,0.44,0.54,0.305,0.662,R,"Camp, Dave",R,0.3568157834087408,0.6194096384080736
MI-05,Sparse suburban,0.22582439382447902,0.39817128014813935,0.33703899297784173,0.03896533304953992,0.64,0.35,0.59,0.41,0.61,0.37,0.53,0.444,D,"Kildee, Dale E.",D,0.7035982175423017,0.269642715552102
MI-06,Rural-suburban mix,0.4638577986437239,0.36503111980378683,0.14570197820749375,0.02540910334499549,0.54,0.45,0.46,0.53,0.45,0.52,0.336,0.62,R,"Upton, Fred",R,0.3856047001995958,0.5886418100023151
MI-07,Pure rural,0.5048944271096815,0.31046093951027326,0.17039285575332516,0.014251777626720063,0.52,0.46,0.45,0.54,0.46,0.51,0.45399999999999996,0.501,D,"Schauer, Mark H.",R,0.4878058618742359,0.4647455986297884
MI-08,Rural-suburban mix,0.3135991259078596,0.39742162271022424,0.24552643496237858,0.04345281641953747,0.53,0.46,0.45,0.54,0.47,0.51,0.34299999999999997,0.6409999999999999,R,"Rogers, Mike",R,0.4023456404328456,0.5652766677636218
MI-09,Dense suburban,0.009686869775122755,0.344824522255178,0.5232952710874841,0.12219333688221515,0.56,0.43,0.49,0.51,0.47,0.51,0.494,0.47600000000000003,D,"Peters, Gary C.",D,0.5208246321346278,0.4262806033588758
MI-10,Rural-suburban mix,0.3201347758693139,0.3206724836226135,0.3247359269211319,0.03445681358694059,0.48,0.5,0.43,0.57,0.45,0.53,0.25,0.72,R,"Miller, Candice S.",R,0.31171767792567956,0.6630293754656893
MI-11,Dense suburban,0.01198324005278845,0.32728825982701704,0.5646053402444933,0.09612315987570125,0.54,0.45,0.47,0.53,0.47,0.51,0.385,0.593,R,"McCotter, Thaddeus G.",R,0.45374613971759825,0.5141084992844355
MI-12,Dense suburban,2.4661512900836475e-4,0.03374022329354862,0.6410430188632417,0.32497014271420144,0.65,0.33,0.61,0.39,0.61,0.37,0.611,0.35,D,"Levin, Sander M.",D,0.7206605537484312,0.2387271726045642
MI-13,Urban-suburban mix,3.5221456834516797e-4,0.057216582993252205,0.4020936577030625,0.5403375447353401,0.85,0.15,0.81,0.19,0.8,0.19,0.792,0.18600000000000003,D,"Kilpatrick, Carolyn C.",D,0.7413222262550792,0.19076495427625464
MI-14,Urban-suburban mix,0,0.07286772025773544,0.3890747480111846,0.53805753173108,0.86,0.14,0.83,0.17,0.81,0.18,0.764,0.20199999999999999,D,"Conyers, John Jr.",D,0.9239744026473308,0
MI-15,Sparse suburban,0.1276204223200363,0.3257427704854993,0.3559704348059142,0.19066637238855008,0.66,0.33,0.62,0.38,0.6,0.38,0.568,0.401,D,"Dingell, John D.",D,0.70703145256492,0.24952795224310384
MN-01,Rural-suburban mix,0.45134739999617796,0.32164490176414473,0.19205051026436556,0.034957187975311714,0.51,0.47,0.47,0.51,0.45,0.49,0.494,0.44,D,"Walz, Timothy J.",D,0,0.3292809867629362
MN-02,Sparse suburban,0.2384605078493712,0.44885575400447786,0.2990539757185619,0.013629762427589124,0.48,0.5,0.45,0.54,0.44,0.51,0.366,0.634,R,"Kline, John",R,0,0.5728524903022383
MN-03,Dense suburban,0.049642821242616736,0.34133580754733983,0.5862632213457795,0.022758149864264027,0.52,0.46,0.48,0.51,0.46,0.5,0.366,0.588,R,"Paulsen, Erik",R,0,0.484773939052408
MN-04,Dense suburban,0.0028928150506665577,0.19944284935305895,0.48748883115916886,0.3101755044371057,0.64,0.34,0.62,0.37,0.57,0.37,0.5920000000000001,0.34700000000000003,D,"McCollum, Betty",D,0,0.31307077444955667
