State,Direction,nudge_x,nudge_y
AK,up,0,1.5
AL,na,0,0
AR,na,0,0
AZ,na,0,0
CA,na,0,0
CO,up,0,1.5
CT,down,0,-1.5
DE,na,0,0
FL,na,0,0
GA,na,0,0
HI,up,0,1.5
IA,up,0,1.5
ID,down,0.5,-1.5
IL,na,0,0
IN,na,0,0
KS,left,-1.5,0
KY,na,0,0
LA,down,0,-1.5
MA,na,0,0
MD,na,0,0
ME,right,1.5,0
MI,na,0,0
MN,up,0,1.5
MO,na,0,0
MS,na,0,0
MT,up,0,1.5
NC,na,0,0
ND,up,0,1.5
NE,left,-1.5,0
NH,up,0,1.5
NJ,na,0,0
NM,na,0,0
NV,up,0,1.5
NY,na,0,0
OH,na,0,0
OK,up,0,1.5
OR,na,0,0
PA,na,0,0
RI,down,0,-1.5
SC,na,0,0
SD,left,-1.5,0
TN,na,0,0
TX,na,0,0
UT,up,0,1.5
VA,na,0,0
VT,up,-0.5,1.5
WA,na,0,0
WI,na,0,0
WV,na,0,0
WY,right,1.5,0